WKT,Enplanements,Passengers,Magnetic_Variation,County_s_State_Post_Office_Code,Official_Facility_Name,Elevation_Nearest_Tenth_Of_A_Foot_Msl,Has_Been_Designated_As_A_Customs_Landing_Rights_Airport,Location_Identifier,Departing_Flights,County_Or_Parish_Name,Magnetic_Direction,Arriving_Flights,Has_Been_Designated_As_An_International_Airport,Icao_Identifier,City_Name,Associated_Aeronautical_Chart,Airport_Activation_Date_Mm_Yyyy,State_Name,SHAPE_X,SHAPE_Y
"POINT (-101.436930666254 47.6559592775781)",,,9,ND,Garrison Muni,1936.5,N,D05,,Mc Lean,E,,N,,Garrison,Billings,11/1978,North Dakota,-101.436930666254,47.6559592775781
"POINT (-101.860155555842 46.8127830552846)",,,11,ND,Glen Ullin Rgnl,2091,N,D57,,Morton,E,,N,,Glen Ullin,Billings,12/1943,North Dakota,-101.860155555842,46.8127830552846
"POINT (-97.3709444443035 48.4047222223384)",,,6,ND,Hutson Field,824,N,GAF,,Walsh,E,,N,KGAF,Grafton,Twin Cities,10/1947,North Dakota,-97.3709444443035,48.4047222223384
"POINT (-97.6433611108181 46.2182777776682)",,,4,ND,Gwinner-Roger Melroe Field,1265.5,N,GWR,,Sargent,E,,N,KGWR,Gwinner,Twin Cities,,North Dakota,-97.6433611108181,46.2182777776682
"POINT (-99.9317500001732 47.7912222219601)",,,8,ND,Harvey Muni,1607,N,5H4,,Wells,E,,N,,Harvey,Twin Cities,10/2002,North Dakota,-99.9317500001732,47.7912222219601
"POINT (-100.269834167032 46.4819344445123)",,,9,ND,Hazelton Muni,2003,N,6H8,,Emmons,E,,N,,Hazelton,Twin Cities,06/1949,North Dakota,-100.269834167032,46.4819344445123
"POINT (-101.580972222551 47.2899444447047)",,,9,ND,Mercer County Rgnl,1814,N,HZE,,Mercer,E,,N,KHZE,Hazen,Billings,05/1952,North Dakota,-101.580972222551,47.2899444447047
"POINT (-102.656000000231 46.0148888886163)",,,8,ND,Hettinger Muni,2706,N,HEI,,Adams,E,,N,KHEI,Hettinger,Billings,01/1947,North Dakota,-102.656000000231,46.0148888886163
"POINT (-97.0604163889408 47.3594077775778)",,,5,ND,Hillsboro Muni,906,N,3H4,,Traill,E,,N,,Hillsboro,Twin Cities,08/1977,North Dakota,-97.0604163889408,47.3594077775778
"POINT (-102.047594444139 48.6675827779212)",,,10,ND,Kenmare Muni,1962,N,7K5,,Ward,E,,N,,Kenmare,Billings,10/1968,North Dakota,-102.047594444139,48.6675827779212
"POINT (-102.770741944422 47.3927913888625)",,,11,ND,Weydahl Field,2256,,9Y1,,Dunn,E,,,,Killdeer,Billings,08/1979,North Dakota,-102.770741944422,47.3927913888625
"POINT (-96.9990096114638 46.6487307501003)",,,4,ND,Hamry Field,947,,K74,,Cass,E,,,,Kindred,Twin Cities,06/1949,North Dakota,-96.9990096114638,46.6487307501003
"POINT (-98.9388333329091 46.3067638886311)",,,,ND,Kulm Muni,1959,,D03,,La Moure,,,,,Kulm,Twin Cities,10/2009,North Dakota,-98.9388333329091,46.3067638886311
"POINT (-98.325750000299 48.0289166665345)",,,7,ND,Lakota Muni,1511.4,N,5L0,,Nelson,E,,N,,Lakota,Twin Cities,09/1947,North Dakota,-98.325750000299,48.0289166665345
"POINT (-98.2837100002356 46.3466355557921)",,,7,ND,La Moure Rott Muni,1310,N,4F9,,La Moure,E,,N,,La Moure,Twin Cities,10/1964,North Dakota,-98.2837100002356,46.3466355557921
"POINT (-98.3936944442243 48.7531388887997)",,,7,ND,Robertson Field,1608,N,D55,,Cavalier,E,,N,,Langdon,Twin Cities,03/1938,North Dakota,-98.3936944442243,48.7531388887997
"POINT (-97.6406427782256 47.9069344446197)",,,7,ND,Larimore Muni,1130,N,2L1,,Grand Forks,E,,N,,Larimore,Twin Cities,08/1969,North Dakota,-97.6406427782256,47.9069344446197
"POINT (-99.4034686113443 48.2849988889264)",,,9,ND,Leeds Muni,1508,,D31,,Benson,E,,,,Leeds,Twin Cities,08/1987,North Dakota,-99.4034686113443,48.2849988889264
"POINT (-97.1664777777944 46.0891269446351)",,,6,ND,Lidgerwood Muni,1081,,4N4,,Richland,E,,,,Lidgerwood,Twin Cities,11/1984,North Dakota,-97.1664777777944,46.0891269446351
"POINT (-100.245623861354 46.2206408886623)",,,9,ND,Linton Muni,1779,N,7L2,,Emmons,E,,N,,Linton,Twin Cities,09/1950,North Dakota,-100.245623861354,46.2206408886623
"POINT (-97.7282158890127 46.4469731946727)",,,4,ND,Lisbon Muni,1240.3,N,6L3,,Ransom,E,,N,,Lisbon,Twin Cities,11/1987,North Dakota,-97.7282158890127,46.4469731946727
"POINT (-100.487349721833 47.4622197220631)",,,9,ND,Mc Clusky Muni,1900,N,7G2,,Sheridan,E,,N,,Mc Clusky,Twin Cities,09/1976,North Dakota,-100.487349721833,47.4622197220631
"POINT (-98.1849313890361 47.7702734722182)",,,7,ND,Mc Ville Muni,1473,N,8M6,,Nelson,E,,N,,Mc Ville,Twin Cities,11/1947,North Dakota,-98.1849313890361,47.7702734722182
"POINT (-99.5273597224311 47.9804847223674)",,,9,ND,Maddock Muni,1600,N,6D3,,Benson,E,,N,,Maddock,Twin Cities,01/1971,North Dakota,-99.5273597224311,47.9804847223674
"POINT (-100.894361111097 46.7679722222922)",,,10,ND,Mandan Muni,1944,N,Y19,,Morton,E,,N,,Mandan,Twin Cities,10/1949,North Dakota,-100.894361111097,46.7679722222922
"POINT (-97.3337016670463 47.4749849997755)",,,6,ND,Mayville Muni,975,N,D56,,Traill,E,,N,,Mayville,Twin Cities,03/1975,North Dakota,-97.3337016670463,47.4749849997755
"POINT (-97.4378686113736 46.2582941665916)",,,7,ND,Milnor Muni,1091,N,4R6,,Sargent,E,,N,,Milnor,Twin Cities,10/1950,North Dakota,-97.4378686113736,46.2582941665916
"POINT (-97.3920211109616 48.2833213888691)",,,6,ND,Minto Muni,820,,D06,,Walsh,E,,,,Minto,Twin Cities,02/1977,North Dakota,-97.3920211109616,48.2833213888691
"POINT (-101.536995277767 48.7683833334819)",,,9,ND,Mohall Muni,1649,N,HBC,,Renville,E,,N,KHBC,Mohall,Billings,12/1944,North Dakota,-101.536995277767,48.7683833334819
"POINT (-102.328245555434 46.3591641665485)",,,11,ND,Mott Muni,2413,N,3P3,,Hettinger,E,,N,,Mott,Billings,01/1947,North Dakota,-102.328245555434,46.3591641665485
"POINT (-99.7601086113756 46.4944238888526)",,,9,ND,Napoleon Muni,1983,,5B5,,Logan,E,,,,Napoleon,Twin Cities,07/1970,North Dakota,-99.7601086113756,46.4944238888526
"POINT (-99.1312286111068 47.6963872221866)",,,8,ND,Tomlinson Field,1533,N,8J7,,Eddy,E,,N,,New Rockford,Twin Cities,03/1948,North Dakota,-99.1312286111068,47.6963872221866
"POINT (-102.477957778166 47.9669588887999)",,,11,ND,New Town Muni,1925,N,05D,,Mountrail,E,,N,,New Town,Billings,07/1967,North Dakota,-102.477957778166,47.9669588887999
"POINT (-97.5898111111054 47.7248874998068)",,,7,ND,Northwood Muni-Vince Field,1117,N,4V4,,Grand Forks,E,,N,,Northwood,Twin Cities,05/1948,North Dakota,-97.5898111111054,47.7248874998068
"POINT (-98.0798897775746 46.173115055705)",,,7,ND,Oakes Muni,1335,,2D5,,Dickey,E,,,,Oakes,Twin Cities,09/1981,North Dakota,-98.0798897775746,46.173115055705
"POINT (-97.4819166667955 47.1701944443612)",,,7,ND,Page Rgnl,1218,,64G,,Cass,E,,,,Page,Twin Cities,12/1987,North Dakota,-97.4819166667955,47.1701944443612
"POINT (-97.7807777778455 48.3940833332463)",,,7,ND,Park River - W C Skjerven Field,1104.4,N,Y37,,Walsh,E,,N,,Park River,Twin Cities,12/1959,North Dakota,-97.7807777778455,48.3940833332463
"POINT (-102.142114166831 47.9364008330734)",,,11,ND,Parshall-Hankins,2031,N,Y74,,Mountrail,E,,N,,Parshall,Billings,01/1946,North Dakota,-102.142114166831,47.9364008330734
"POINT (-97.2407638892477 48.9425694444644)",,,3,ND,Pembina Muni,795,N,PMB,,Pembina,E,,Y,KPMB,Pembina,Twin Cities,08/1938,North Dakota,-97.2407638892477,48.9425694444644
"POINT (-101.953222499701 48.0305680555005)",,,11,ND,Trulson Field,2105,,Y99,,Mountrail,E,,,,Plaza,Billings,12/1978,North Dakota,-101.953222499701,48.0305680555005
"POINT (-102.356472222459 46.8961111109211)",,,11,ND,Richardton,2498,,4E8,,Stark,E,,,,Richardton,Billings,08/1975,North Dakota,-102.356472222459,46.8961111109211
"POINT (-101.408184721791 47.4827097222436)",,,10,ND,Garrison Dam Recreational Airpark,1723,,37N,,Mc Lean,E,,,,Riverdale,Billings,11/1984,North Dakota,-101.408184721791,47.4827097222436
"POINT (-99.8531991665529 48.6652772223853)",,,9,ND,Rolette,1620,,2H9,,Rolette,E,,,,Rolette,Twin Cities,10/1949,North Dakota,-99.8531991665529,48.6652772223853
"POINT (-99.6207499996047 48.8844166666554)",,,5,ND,Rolla Muni,1823,N,06D,,Rolette,E,,N,,Rolla,Twin Cities,01/1947,North Dakota,-99.6207499996047,48.8844166666554
"POINT (-100.024277777893 48.3903611109935)",,,8,ND,Rugby Muni,1549.2,,RUG,,Pierce,E,,,KRUG,Rugby,Twin Cities,,North Dakota,-100.024277777893,48.3903611109935
"POINT (-97.4392477777613 48.6263780557502)",,,7,ND,St Thomas Muni,837,N,4S5,,Pembina,E,,N,,St Thomas,Twin Cities,03/1971,North Dakota,-97.4392477777613,48.6263780557502
"POINT (-102.406351388816 48.3007986111163)",,,10,ND,Stanley Muni,2245,N,08D,,Mountrail,E,,N,,Stanley,Billings,11/1971,North Dakota,-102.406351388816,48.3007986111163
"POINT (-102.897361111466 48.3802777779216)",,,8,ND,Tioga Muni,2271,N,D60,,Williams,E,,N,,Tioga,Billings,07/1947,North Dakota,-102.897361111466,48.3802777779216
"POINT (-100.392078888985 48.358331944457)",,,9,ND,Towner Muni,1484,,D61,,Mc Henry,E,,,,Towner,Twin Cities,11/1937,North Dakota,-100.392078888985,48.358331944457
"POINT (-100.915977222372 47.509441944374)",,,10,ND,Turtle Lake Muni,1910,,91N,,Mc Lean,E,,,,Turtle Lake,Twin Cities,05/1987,North Dakota,-100.915977222372,47.509441944374
"POINT (-98.0180181668538 46.9411850833648)",,,7,ND,Barnes County Muni,1402,N,BAC,,Barnes,E,,N,KBAC,Valley City,Twin Cities,12/1938,North Dakota,-98.0180181668538,46.9411850833648
"POINT (-96.6071559442475 46.2442937777377)",,,5,ND,Harry Stern,968,N,BWP,,Richland,E,,N,KBWP,Wahpeton,Twin Cities,11/1947,North Dakota,-96.6071559442475,46.2442937777377
"POINT (-97.9027749995649 48.9405722222986)",,,7,ND,Walhalla Muni,953,N,96D,,Pembina,E,,N,,Walhalla,Twin Cities,09/1948,North Dakota,-97.9027749995649,48.9405722222986
"POINT (-101.025888888449 47.3511666665117)",,,10,ND,Washburn Muni,1908,N,5C8,,Mc Lean,E,,N,,Washburn,Billings,12/1943,North Dakota,-101.025888888449,47.3511666665117
"POINT (-103.255194444301 47.7965833331789)",,,9,ND,Watford City Muni,2111,N,S25,,Mc Kenzie,E,,N,,Watford City,Billings,,North Dakota,-103.255194444301,47.7965833331789
